Date,Open,High,Low,Close,Volume
3/18/2019 15:00:00,191.7,192.93,191.67,192.93,0
3/19/2019 15:00:00,192.95,193.27,191.81,191.92,0
3/20/2019 15:00:00,192.05,192.24,191.01,191.57,0
3/21/2019 15:00:00,192.09,192.53,191.57,192.53,0
3/22/2019 15:00:00,192.77,193.12,192.11,192.78,0
3/25/2019 15:00:00,191.6,191.6,188.53,189.26,0
3/26/2019 15:00:00,190,191.41,189.97,190.85,0
3/27/2019 15:00:00,191.13,191.39,190.07,190.2,0
3/28/2019 15:00:00,190.36,190.9,189.72,190.68,0
3/29/2019 15:00:00,190.79,191.13,189.25,190.17,0
4/1/2019 15:00:00,190.62,191.06,189.14,190.05,0
4/2/2019 15:00:00,190.46,191.02,189.84,190.42,0
4/4/2019 15:00:00,190.61,190.95,190.19,190.8,0
4/5/2019 15:00:00,190.76,190.94,190.02,190.43,0
4/8/2019 15:00:00,190.44,190.68,187.64,188.4,0
4/9/2019 15:00:00,188.66,190.59,188.44,190.59,0
4/10/2019 15:00:00,190.24,190.62,189.46,190.45,0
4/11/2019 15:00:00,189.87,190.04,188.25,188.25,0
4/12/2019 15:00:00,187.68,188.93,187.38,187.88,0
4/15/2019 15:00:00,188.29,188.77,187.86,188.42,0
4/16/2019 15:00:00,188.64,190.22,188.59,190.15,0
4/18/2019 15:00:00,192.39,193.07,190.11,190.85,0
4/22/2019 15:00:00,190.93,191.14,187.88,188.12,0
4/23/2019 15:00:00,188.44,190.37,188.44,190.04,0
4/24/2019 15:00:00,189.93,190.33,188.67,189.45,0
4/25/2019 15:00:00,188.88,189.11,186.02,186.82,0
4/26/2019 15:00:00,186.47,187.57,185.51,187.57,0
4/29/2019 15:00:00,186.91,187.68,186.15,187.53,0
4/30/2019 15:00:00,187.95,188.73,187.52,188.43,0
5/2/2019 15:00:00,188.07,188.41,186.19,186.87,0
5/3/2019 15:00:00,186.74,186.78,183.06,185.02,0
5/6/2019 15:00:00,183.11,183.66,181.56,183.66,0
5/7/2019 15:00:00,183.9,185.09,183.8,184.93,0
5/8/2019 15:00:00,183.9,184.37,182.94,184.37,0
5/9/2019 15:00:00,183.31,183.68,180.81,180.89,0
5/10/2019 15:00:00,181.15,182.12,179.71,181.77,0
5/13/2019 15:00:00,181.81,182.34,178.78,178.78,0
5/14/2019 15:00:00,177.31,177.65,175.71,177.11,0
5/15/2019 15:00:00,177.43,178.14,174.11,174.11,0
5/16/2019 15:00:00,173.65,175.15,171.6,171.77,0
5/17/2019 15:00:00,172.52,172.82,170.27,170.27,0
5/20/2019 15:00:00,170.51,173.24,168.96,173,0
5/21/2019 15:00:00,173.06,175.49,173.06,174.21,0
5/22/2019 15:00:00,174.09,174.56,173.03,173.8,0
5/23/2019 15:00:00,173.94,176.8,173.9,176.4,0
5/24/2019 15:00:00,177.09,177.6,176.6,177.27,0
5/27/2019 15:00:00,177.65,178.92,177.62,178.37,0
5/28/2019 15:00:00,178.75,179.24,176.91,176.91,0
5/29/2019 15:00:00,177.12,179.22,177.07,178.4,0
5/31/2019 15:00:00,178.27,181.1,178.27,181.1,0
6/10/2019 15:00:00,182.24,183.99,182.23,183.51,0
6/11/2019 15:00:00,183.12,184.18,182.49,184.01,0
6/12/2019 15:00:00,182.83,183.7,182.58,183.26,0
6/13/2019 15:00:00,183.06,183.45,182.23,183.35,0
6/14/2019 15:00:00,183.59,184.04,182.24,182.77,0
6/17/2019 15:00:00,182.65,182.9,180.78,180.78,0
6/18/2019 15:00:00,181.03,182.53,180.93,182.45,0
6/19/2019 15:00:00,183.36,184.88,183.36,184.88,0
6/20/2019 15:00:00,185.02,185.36,184.32,184.66,0
6/21/2019 15:00:00,184.96,185.14,182.38,183.8,0
6/24/2019 15:00:00,183.59,183.81,182.51,182.78,0
6/25/2019 15:00:00,183.31,184.44,183.25,184.44,0
6/26/2019 15:00:00,184.49,184.84,183.71,183.96,0
6/27/2019 15:00:00,184.38,185.99,184.36,185.75,0
6/28/2019 15:00:00,186.1,186.53,185.55,186.01,0
7/1/2019 15:00:00,186.66,187.47,186.2,187.12,0
7/2/2019 15:00:00,187.44,187.63,186.74,187.46,0
7/3/2019 15:00:00,186.87,187.47,185.34,186.23,0
7/4/2019 15:00:00,186.26,186.83,186.19,186.62,0
7/5/2019 15:00:00,186.63,187.3,186.33,186.66,0
7/8/2019 15:00:00,186.53,186.67,185,186.1,0
7/9/2019 15:00:00,186.25,187.24,186.22,187.02,0
7/10/2019 15:00:00,187.13,187.77,186.85,187.77,0
7/11/2019 15:00:00,187.88,188.17,187.03,187.83,0
7/12/2019 15:00:00,187.73,187.92,186.03,186.18,0
7/15/2019 15:00:00,187.24,188.07,187.16,187.43,0
7/16/2019 15:00:00,187.52,187.8,186.7,187.05,0
7/17/2019 15:00:00,187.11,187.26,186.28,186.51,0
7/18/2019 15:00:00,186.59,187.68,186.52,187.66,0
7/19/2019 15:00:00,188.14,189.01,188.14,189.01,0
7/22/2019 15:00:00,188.98,189.28,187.76,188.06,0
